name,brand,category,subcategory,location,barcode,units_per_case
"Kahlúa 1l","Kahlua","spirits","Liqueur","","0089540122700","12"
"Fernet-Branca","","spirits","Liqueur","","0898563002629","12"
"Johnnie Walker Red Label Blended Scotch Whisky, 750 mL (80 Proof)","Johnnie Walker","spirits","Scotch","","0088110021306","12"
"l'Unique","Cointreau","spirits","Liqueur","","0087236565008","12"
"L'Autentico","Galliano","spirits","Liqueur","","0083664870141","12"
"Glenmorangie Original 10 Years Old Single Malt Scotch Whisky 25.40 fl oz","Glenmorangie","spirits","Scotch","","0081753810818","12"
"Pastis 750 mL","Pernod","spirits","Aperitif","","","12"
"Prosecco Rosé","","sparkling","Prosecco","","https://qrco.de/bbs6lK","12"
"Evan Williams","Evan Williams","spirits","Bourbon","","0096749021246","12"
"Bourbon Whiskey","","spirits","Bourbon","","https://api.drinksmart.com/00080686001409","12"
"Blanco","El Tequileño","spirits","Tequila","","","12"
"Empress 1908 gin","Empress 1908","spirits","Gin","","0628451773108","12"
"Jim Beam Black extra aged bourbon","Jim Beam","spirits","Bourbon","","0080686034407","12"
"Reposado tequila","","spirits","Tequila","","0086003272002","12"
"Chivas Regal 12 Year Old Blended Scotch Whisky, 1.75 L","Chivas Regal","spirits","Scotch","","0080432400463","12"
"Mezcal Artesanal-Joven (100% Agave Espadín) 1 L","Rosaluna","spirits","Mezcal","","","12"
"Brunello di Montalcino","Il Poggione","red_wine","Sangiovese","","0086891076676","12"
"Cristalino Tequila Reposado 100% Agave Azul","Casamigos","spirits","Tequila","","0088076189041","12"
"Old No. 7 1 l","Jack Daniel's","spirits","Whiskey","","0082184090442","12"
"Bourbon Whiskey","WOODFORD RESERVE","spirits","Bourbon","","0081128001506","12"
"Grey goose original","Grey Goose","spirits","Vodka","","0080480280024","6"
"Beefeater London Dry Gin, 1L Bottle 33.80 fl oz","Beefeater","spirits","Gin","","0089540333489","12"
"Saiten Shochu","iichiko","spirits","Vodka","","","12"
"Tequila","Mi Campo","spirits","Tequila","","","12"
"Vodka","Ketel One","spirits","Vodka","","0085156610419","12"
"Prosecco Brut 750ml","Mionetto","sparkling","Prosecco","","https://qrco.de/becNqC","12"
"Bacardi Reserva Ocho 8 Year Old Rum, 750 mL","Bacardi","spirits","Rum","","0080480505400","12"
"Benchmark No 8 Rye Bourbon, 750 mL","BENCHMARK","spirits","Bourbon","","0088004020842","12"
"Aperitif de France","Lillet","spirits","Aperitif","","","12"
"TEQUILA BLANCO","ESPOLÒN","spirits","Tequila","","0721059707503","12"
"Ruinart Blanc de Blancs Brut NV (750ml)","RUINART","sparkling","Champagne","","0088076167223","6"
"vermouth 25.40 fl oz","Martini & Rossi","spirits","Vermouth","","0011034420054","12"
"Hendricks","Hendrick's","spirits","Gin","","0083664990436","12"
"Buchanan's DeLuxe Aged 12 Years Blended Scotch Whisky, 375 mL (80 Proof)","Buchanan's","spirits","Scotch","","0088110955335","12"
"Hugh M. Hefner Limited Edition Vodka 1.0L","Playboy","spirits","Vodka","","0083664871728","12"
"Southern Comfort Liqueur, 70 proof, 1 L","SOUTHERN COMFORT","spirits","Liqueur","","0088544018941","12"
"Hiram Walker USA Peppermint Schnapps 750ml Bottle 25.40 fl oz","Hiram Walker","spirits","Liqueur","","0089540125220","12"
"Golden Falernum","The Bitter Truth","spirits","Liqueur","","0810255020223","12"
"White wine (Product of Chile)","","white_wine","White Blend","","0088320152012","12"
"21 Seeds Valencia Orange Infused Blanco Tequila - 750ml Bottle","21 Seeds","spirits","Tequila","","0850003519012","12"
"Reposado 750ml","Cazadores","spirits","Tequila","","https://qr.cazadores.com/80480170028/1","12"
"Bogle Pinot Noir Wine, 750 mL","Bogle Vineyards","red_wine","Pinot Noir","","0080887496318","12"
"Monkey Shoulder Scotch Whisky, 750 mL","MONKEY SHOULDER","spirits","Scotch","","0083664872541","12"
"Amaro Siciliano","Averna","spirits","Aperitif","","","12"
"Casamigos","CASAMIGOS","spirits","Tequila","","0856724006329","12"
"Grey goose original 59.20 fl oz","Grey Goose","spirits","Vodka","","0080480280000","12"
"Vermouth de Chambéry Blanc","Dolin","spirits","Vermouth","","","12"
